core0_status,core1_status,core2_status,core3_status,cpu_freq_345600,cpu_freq_499200,cpu_freq_652800,cpu_freq_806400,cpu_freq_960000,cpu_freq_1113600,cpu_freq_1267200,cpu_freq_1420800,cpu_freq_1574400,cpu_freq_1728000,cpu_freq_1881600,cpu_freq_2035200,gpu_status,gpu_freq_140250000,gpu_freq_497250000,gpu_freq_943500000,gpu_freq_1300500000,emc_status,emc_freq_1062400000,emc_freq_1331200000,emc_freq_1600000000,emc_freq_1866000000,inference_time_w1,inference_time_w2,inference_time_w3,inference_time_w4
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.225589222378201,0.24062548743354,0.396523714065552,0.638514121373495
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.214755137761434,0.228842682308621,0.317007541656494,0.576082282596164
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0.207686079872979,0.216423908869425,0.31098911497328,0.525318622589111
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.196737554338243,0.209609985351563,0.304014258914524,0.489617533153958
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.489046070310805,0.929361793729994,1.660964012146,2.75771853658888
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0.485736846923828,0.87718743748135,1.62442294756571,2.70531421237522
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0.468846003214518,0.874808894263373,1.62931664784749,2.68350834316678
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0.463029199176364,0.887525081634521,1.60364113913642,2.6578905582428
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.243792136510213,0.364482694201999,0.583269781536526,1.01097721523709
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.23771063486735,0.328032864464654,0.558911270565457,0.937870131598579
