core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time_tx2_inceptionv3_200x200,inference_time_tx2_inceptionv3_400x400,inference_time_tx2_inceptionv3_600x600,inference_time_tx2_inceptionv3_800x800,inference_time_tx2_xception_200x200,inference_time_tx2_xception_400x400,inference_time_tx2_xception_600x600,inference_time_tx2_xception_800x800
1,1,1,0,806400,1,1300500000,1,1866000000,0.211519903606839,0.234816895590888,0.37756954299079,0.547905100716485,0.185848103629218,0.249597337510851,0.49021577835083,0.735608418782552
1,1,1,0,806400,1,140250000,1,1062400000,0.526750988430447,0.945011456807454,1.68729321161906,2.73219119177924,0.666400326622857,1.27601088417901,2.76023112403022,4.45186000400119
1,1,1,0,806400,1,140250000,1,1331200000,0.540052440431383,0.97525586022271,1.65388872888353,2.70292456944784,0.656794680489434,1.23544518152873,2.733074426651,4.41732981469896
1,1,1,0,806400,1,140250000,1,1600000000,0.51474052005344,0.963856909010145,1.6493845515781,2.690215004815,0.654585705863105,1.23250325520833,2.71951455540127,4.41055891248915
1,1,1,0,806400,1,140250000,1,1866000000,0.509177817238702,0.936482323540582,1.6451530986362,2.67420445548164,0.647911919487847,1.23659125963847,2.72357408205668,4.4011402659946
1,1,1,0,806400,1,497250000,1,1062400000,0.258393181694878,0.421027024586995,0.643173906538222,0.987520747714572,0.274135960472955,0.481664419174194,0.975360155105591,1.5118572447035
1,1,1,0,806400,1,497250000,1,1331200000,0.239807870652941,0.393396192126804,0.612339125739204,0.949656777911716,0.270100196202596,0.441940069198608,0.910524315304226,1.46240835719638
1,1,1,0,806400,1,497250000,1,1600000000,0.235696448220147,0.381503979365031,0.613151974148221,0.924041483137343,0.263150877422757,0.469191604190403,0.912904871834649,1.42797456847297
1,1,1,0,806400,1,497250000,1,1866000000,0.230387343300713,0.371174785825941,0.608319573932224,0.914451969994439,0.258218288421631,0.408905267715454,0.918874820073446,1.4127025074429
1,1,1,0,806400,1,943500000,1,1062400000,0.259366856680976,0.284850729836358,0.465833001666599,0.716039578119914,0.229570150375366,0.364301575554742,0.692622211244371,1.05152440071106
1,1,1,0,806400,1,943500000,1,1331200000,0.240246269438002,0.263542546166314,0.43959919611613,0.658146699269613,0.218063751856486,0.325149933497111,0.638387971454196,0.95650839805603
1,1,1,0,806400,1,943500000,1,1600000000,0.23201068242391,0.24481545554267,0.423104921976725,0.62930703163147,0.208738618426853,0.343618313471476,0.573008802202013,0.924553791681925
1,1,1,0,806400,1,943500000,1,1866000000,0.22833612230089,0.248373614417182,0.406338877148098,0.613625129063924,0.201014465755886,0.301499366760254,0.575628651512994,0.883203268051147
1,1,1,0,960000,1,1300500000,1,1062400000,0.22363903787401,0.251198212305705,0.428520335091485,0.622197310129801,0.207199652989705,0.307703521516588,0.58528725306193,0.946695804595947
1,1,1,0,960000,1,1300500000,1,1331200000,0.208488252427843,0.229846292071872,0.385010083516439,0.564065164989895,0.19467306137085,0.268583483166165,0.51744450463189,0.825815571679009
1,1,1,0,960000,1,1300500000,1,1600000000,0.194934527079264,0.214567131466336,0.361953496932983,0.530120902591281,0.184444533454047,0.247513850529989,0.493744320339627,0.773745669258965
1,1,1,0,960000,1,1300500000,1,1866000000,0.20159641901652,0.213601668675741,0.345467117097643,0.511908451716105,0.175953441196018,0.242558532290989,0.463739766014947,0.752491129769219
1,1,1,0,960000,1,140250000,1,1062400000,0.505576637056139,0.945124864578247,1.66735482215881,2.7171459197998,0.648696157667372,1.24051753679911,2.73961440722148,4.44315764639113
1,1,1,0,960000,1,140250000,1,1331200000,0.493213759528266,0.934677680333455,1.67646384239197,2.7011304696401,0.65824818611145,1.2449955675337,2.70520822207133,4.41681098937988
1,1,1,0,960000,1,140250000,1,1600000000,0.491893344455295,0.923931068844265,1.6477357811398,2.66040192710029,0.661161820093791,1.229495022032,2.69844243261549,4.40028916464912
1,1,1,0,960000,1,140250000,1,1866000000,0.481307109196981,0.912835227118598,1.63885577519735,2.68706149525113,0.656315988964505,1.25691326459249,2.70808696746826,4.38111488024394
1,1,1,0,960000,1,497250000,1,1062400000,0.230355421702067,0.380258586671617,0.671039634280735,1.00726779301961,0.271114190419515,0.497002998987834,0.94476056098938,1.51353115505642
1,1,1,0,960000,1,497250000,1,1331200000,0.21379378106859,0.368357631895277,0.637734254201253,0.954620016945733,0.274852620230781,0.449716832902696,0.897769265704685,1.45770155058967
1,1,1,0,960000,1,497250000,1,1600000000,0.21404841211107,0.352527194552951,0.605396747589111,0.920339637332492,0.259322802225749,0.445192628436618,0.881077607472738,1.39851917160882
